Starting sarsa training
[INFO] [1743221434.794239, 169.468000]: Episode: 21/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.806 | Time: 27.8s | Head Height: 0.075
[INFO] [1743221434.899924, 169.521000]: Initial height of Gurdy: 0.07225582631924907
[INFO] [1743221435.977401, 170.067000]: Episode: 22/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.802 | Time: 29.0s | Head Height: 0.070
[INFO] [1743221436.081825, 170.144000]: Initial height of Gurdy: 0.07206308083730033
[INFO] [1743221437.176337, 170.745000]: Episode: 23/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.798 | Time: 30.2s | Head Height: 0.071
[INFO] [1743221437.299696, 170.808000]: Initial height of Gurdy: 0.07106474198093835
[INFO] [1743221438.296898, 171.329000]: Episode: 24/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.794 | Time: 31.3s | Head Height: 0.070
[INFO] [1743221438.412856, 171.397000]: Initial height of Gurdy: 0.07688742275856494
[INFO] [1743221439.390648, 171.819000]: Episode: 25/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.790 | Time: 32.4s | Head Height: 0.078
[INFO] [1743221439.497179, 171.872000]: Initial height of Gurdy: 0.07957145523399807
[INFO] [1743221440.595621, 172.524000]: Episode: 26/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.786 | Time: 33.6s | Head Height: 0.075
[INFO] [1743221440.700397, 172.583000]: Initial height of Gurdy: 0.07852316527631853
[INFO] [1743221441.686776, 173.095000]: Episode: 27/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.782 | Time: 34.7s | Head Height: 0.076
[INFO] [1743221441.798665, 173.152000]: Initial height of Gurdy: 0.07577122812694634
[INFO] [1743221443.200451, 173.819000]: Episode: 28/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.778 | Time: 36.2s | Head Height: 0.090
[INFO] [1743221443.309844, 173.898000]: Initial height of Gurdy: 0.07479487862291749
[INFO] [1743221444.585197, 174.601000]: Episode: 29/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.774 | Time: 37.6s | Head Height: 0.071
[INFO] [1743221444.709201, 174.693000]: Initial height of Gurdy: 0.07264596311600714
[INFO] [1743221445.683717, 175.182000]: Episode: 30/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.770 | Time: 38.7s | Head Height: 0.075
[WARN] [1743221406.814253, 154.517000]: ACTION SPACES TYPE===>Discrete(5)
[WARN] [1743221406.816645, 154.522000]: OBSERVATION SPACES TYPE===>Box(9,)
[WARN] [1743221407.276731, 154.786000]: Episode done: Robot has fallen
[WARN] [1743221407.287578, 154.797000]: Episode 0: Robot fell!
[WARN] [1743221409.508898, 155.886000]: Episode done: Robot has fallen
[WARN] [1743221409.587586, 155.932000]: Episode 1: Robot fell!
[WARN] [1743221410.799117, 156.547000]: Episode done: Robot has fallen
[WARN] [1743221410.879890, 156.573000]: Episode 2: Robot fell!
[WARN] [1743221411.983953, 157.165000]: Episode done: Robot has fallen
[WARN] [1743221412.007960, 157.182000]: Episode 3: Robot fell!
[WARN] [1743221413.012543, 157.716000]: Episode done: Robot has fallen
[WARN] [1743221413.020204, 157.723000]: Episode 4: Robot fell!
[WARN] [1743221414.227328, 158.361000]: Episode done: Robot has fallen
[WARN] [1743221414.278220, 158.371000]: Episode 5: Robot fell!
[WARN] [1743221415.284792, 158.888000]: Episode done: Robot has fallen
[WARN] [1743221415.302439, 158.894000]: Episode 6: Robot fell!
[WARN] [1743221416.421484, 159.604000]: Episode done: Robot has fallen
[WARN] [1743221416.429278, 159.608000]: Episode 7: Robot fell!
[WARN] [1743221417.512535, 160.283000]: Episode done: Robot has fallen
[WARN] [1743221417.517237, 160.285000]: Episode 8: Robot fell!
[WARN] [1743221418.881339, 161.037000]: Episode done: Robot has fallen
[WARN] [1743221418.885079, 161.059000]: Episode 9: Robot fell!
[WARN] [1743221420.079618, 161.708000]: Episode done: Robot has fallen
[WARN] [1743221420.083900, 161.712000]: Episode 10: Robot fell!
[WARN] [1743221421.422356, 162.380000]: Episode done: Robot has fallen
[WARN] [1743221421.483181, 162.391000]: Episode 11: Robot fell!
[WARN] [1743221422.623997, 163.024000]: Episode done: Robot has fallen
[WARN] [1743221422.632836, 163.035000]: Episode 12: Robot fell!
[WARN] [1743221423.784979, 163.532000]: Episode done: Robot has fallen
[WARN] [1743221423.789137, 163.535000]: Episode 13: Robot fell!
[WARN] [1743221424.911526, 164.103000]: Episode done: Robot has fallen
[WARN] [1743221424.923997, 164.116000]: Episode 14: Robot fell!
[WARN] [1743221426.193831, 164.809000]: Episode done: Robot has fallen
[WARN] [1743221426.205483, 164.823000]: Episode 15: Robot fell!
[WARN] [1743221427.610918, 165.614000]: Episode done: Robot has fallen
[WARN] [1743221427.613271, 165.616000]: Episode 16: Robot fell!
[WARN] [1743221428.726959, 166.227000]: Episode done: Robot has fallen
[WARN] [1743221428.729269, 166.228000]: Episode 17: Robot fell!
[WARN] [1743221430.086447, 167.001000]: Episode done: Robot has fallen
[WARN] [1743221430.093364, 167.006000]: Episode 18: Robot fell!
[WARN] [1743221431.220991, 167.600000]: Episode done: Robot has fallen
[WARN] [1743221431.225497, 167.600000]: Episode 19: Robot fell!
[WARN] [1743221432.375823, 168.100000]: Episode done: Robot has fallen
[WARN] [1743221432.380988, 168.100000]: Episode 20: Robot fell!
[WARN] [1743221433.800898, 168.871000]: Episode done: Robot has fallen
[WARN] [1743221433.803388, 168.873000]: Episode 21: Robot fell!
[WARN] [1743221435.015943, 169.588000]: Episode done: Robot has fallen
[WARN] [1743221435.025280, 169.591000]: Episode 22: Robot fell!
[WARN] [1743221436.197023, 170.223000]: Episode done: Robot has fallen
[WARN] [1743221436.201720, 170.227000]: Episode 23: Robot fell!
[WARN] [1743221437.402422, 170.859000]: Episode done: Robot has fallen
[WARN] [1743221437.407384, 170.863000]: Episode 24: Robot fell!
[WARN] [1743221438.516501, 171.460000]: Episode done: Robot has fallen
[WARN] [1743221438.519178, 171.460000]: Episode 25: Robot fell!
[WARN] [1743221439.605157, 171.945000]: Episode done: Robot has fallen
[WARN] [1743221439.614170, 171.961000]: Episode 26: Robot fell!
[WARN] [1743221440.815773, 172.641000]: Episode done: Robot has fallen
[WARN] [1743221440.818251, 172.644000]: Episode 27: Robot fell!
[WARN] [1743221441.902318, 173.211000]: Episode done: Robot has fallen
[WARN] [1743221441.904930, 173.214000]: Episode 28: Robot fell!
[WARN] [1743221443.414713, 173.960000]: Episode done: Robot has fallen
[WARN] [1743221443.419168, 173.961000]: Episode 29: Robot fell!
[WARN] [1743221444.819283, 174.773000]: Episode done: Robot has fallen
[WARN] [1743221444.823298, 174.778000]: Episode 30: Robot fell!
[WARN] [1743221445.922854, 175.345000]: Episode done: Robot has fallen
[WARN] [1743221445.926062, 175.348000]: Episode 31: Robot fell!
[WARN] [1743221447.020841, 175.905000]: Episode done: Robot has fallen
[WARN] [1743221447.076963, 175.919000]: Episode 32: Robot fell!
[WARN] [1743221448.074478, 176.496000]: Episode done: Robot has fallen
[WARN] [1743221448.082961, 176.501000]: Episode 33: Robot fell!
[WARN] [1743221449.074573, 176.964000]: Episode done: Robot has fallen
[WARN] [1743221449.078365, 176.964000]: Episode 34: Robot fell!
[WARN] [1743221450.320280, 177.598000]: Episode done: Robot has fallen
[WARN] [1743221450.324054, 177.601000]: Episode 35: Robot fell!
[WARN] [1743221451.615491, 178.352000]: Episode done: Robot has fallen
[WARN] [1743221451.618360, 178.356000]: Episode 36: Robot fell!
[WARN] [1743221452.974435, 179.107000]: Episode done: Robot has fallen
[WARN] [1743221452.977634, 179.112000]: Episode 37: Robot fell!
[WARN] [1743221454.284216, 179.921000]: Episode done: Robot has fallen
[WARN] [1743221454.286508, 179.921000]: Episode 38: Robot fell!
[WARN] [1743221455.413081, 180.515000]: Episode done: Robot has fallen
[WARN] [1743221455.418969, 180.520000]: Episode 39: Robot fell!
[WARN] [1743221456.691669, 181.275000]: Episode done: Robot has fallen
[WARN] [1743221456.699163, 181.281000]: Episode 40: Robot fell!
[WARN] [1743221457.929482, 181.959000]: Episode done: Robot has fallen
[WARN] [1743221457.937406, 181.966000]: Episode 41: Robot fell!
[WARN] [1743221459.211219, 182.593000]: Episode done: Robot has fallen
[WARN] [1743221459.218060, 182.603000]: Episode 42: Robot fell!
[WARN] [1743221460.429439, 183.302000]: Episode done: Robot has fallen
[WARN] [1743221460.477573, 183.310000]: Episode 43: Robot fell!
[WARN] [1743221461.700719, 184.034000]: Episode done: Robot has fallen
[WARN] [1743221461.710932, 184.041000]: Episode 44: Robot fell!
[WARN] [1743221462.997054, 184.668000]: Episode done: Robot has fallen
[WARN] [1743221463.000749, 184.673000]: Episode 45: Robot fell!
[WARN] [1743221464.101610, 185.252000]: Episode done: Robot has fallen
[WARN] [1743221464.104796, 185.255000]: Episode 46: Robot fell!
[WARN] [1743221465.096476, 185.801000]: Episode done: Robot has fallen
[WARN] [1743221465.111658, 185.815000]: Episode 47: Robot fell!
[WARN] [1743221466.118725, 186.308000]: Episode done: Robot has fallen
[WARN] [1743221466.121401, 186.313000]: Episode 48: Robot fell!
[WARN] [1743221467.013647, 186.745000]: Episode done: Robot has fallen
[WARN] [1743221467.017240, 186.750000]: Episode 49: Robot fell!
[WARN] [1743221468.200022, 187.344000]: Episode done: Robot has fallen
[WARN] [1743221468.212616, 187.359000]: Episode 50: Robot fell!
[WARN] [1743221469.311272, 187.947000]: Episode done: Robot has fallen
[WARN] [1743221469.320684, 187.952000]: Episode 51: Robot fell!
[WARN] [1743221470.416449, 188.580000]: Episode done: Robot has fallen
[WARN] [1743221470.421396, 188.588000]: Episode 52: Robot fell!
[WARN] [1743221471.597585, 189.227000]: Episode done: Robot has fallen
[WARN] [1743221471.600039, 189.227000]: Episode 53: Robot fell!
[WARN] [1743221472.787417, 189.946000]: Episode done: Robot has fallen
[WARN] [1743221472.819080, 189.977000]: Episode 54: Robot fell!
[WARN] [1743221473.893616, 190.531000]: Episode done: Robot has fallen
[WARN] [1743221473.897312, 190.534000]: Episode 55: Robot fell!
[WARN] [1743221475.026828, 191.185000]: Episode done: Robot has fallen
[WARN] [1743221475.029650, 191.190000]: Episode 56: Robot fell!
[WARN] [1743221476.279830, 191.963000]: Episode done: Robot has fallen
[WARN] [1743221476.298009, 191.980000]: Episode 57: Robot fell!
[WARN] [1743221477.394379, 192.524000]: Episode done: Robot has fallen
[WARN] [1743221477.404898, 192.524000]: Episode 58: Robot fell!
[WARN] [1743221478.617968, 193.171000]: Episode done: Robot has fallen
[INFO] [1743221445.794595, 175.259000]: Initial height of Gurdy: 0.07335783050493547
[INFO] [1743221446.808219, 175.752000]: Episode: 31/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.767 | Time: 39.8s | Head Height: 0.074
[INFO] [1743221446.913790, 175.838000]: Initial height of Gurdy: 0.07489384778696784
[INFO] [1743221447.816976, 176.338000]: Episode: 32/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.763 | Time: 40.8s | Head Height: 0.070
[INFO] [1743221447.927423, 176.398000]: Initial height of Gurdy: 0.07449813148361073
[INFO] [1743221448.810804, 176.847000]: Episode: 33/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.759 | Time: 41.8s | Head Height: 0.075
[INFO] [1743221448.921854, 176.904000]: Initial height of Gurdy: 0.06927243840591811
[INFO] [1743221450.092119, 177.466000]: Episode: 34/999 | Reward: -100.00 | Avg Reward: -100.00 | Epsilon: 0.755 | Time: 43.1s | Head Height: 0.073
